Company,is it aging?,aging mission?,core aging area?,multiple aging diseases?,core aging confs?,is it rejuvenation?,operating status,short summary,clinical stage,Tx or Dx,categories,diseases/ indications,species for final products,clinical trials,targets / pathway / MoAs,modalities,regulatory category,team,geo,public?,ticker Y!,ticker f/ G,market cap,"employees, Y! publics",employees LI,year founded,tot. raised,$ curr conv rate as of Aug'24,$ curr conv rate,raised other curr,pharma partners/ investors,deals $ value,product names,pubs/ papers,as of,date added to list,notes,full overall score,score w/o 4p focus,aging focus score,4-prong focus score,operating status score,pipeline image bonus,clin. stage score,# employees score,total raised / valuation score,Tx > Dx,pharma > supplements / unreg,pubs bonus,check for all 4 no,updated since Jul 2024?
712 North Inc,yes,no,yes,,no,,operating?*,personalized mitochondrial medicines by drugging proteases of mito inner membrane,pre-clinical,Tx,['mitochondria'],"AD, cancer, glaucoma, CVD, unspecificed orphan pediatric disease",humans,,OMA1,small molecules?,pharma,,,no,,,,,1.0,2016-01-01,unknown,,,,,,,on blog & science pages,2024-09-07,2019,"*Only 1 employee & no reports of money raised, but publishing papers as of 2022.",0.05,0.2,1.0,0.3,0.3,1.0,0.5,0.0,0.0,1.0,1.0,1.2,0,1
Arrive Bio,yes,,,,,,operating,in-vivo target screening with machine learning to age-related diseases,pre-clinical,Tx,,,humans,,,,,,"SF, Singapore",no,,,,,6.0,2019-01-01,unknown,,,,,,,,2023-05-27,2023-05-29,See also https://longevity.technology/news/deep-learning-platform-seeks-near-term-indications-of-age-related-diseases/,0.04,0.4,1.0,0.1,1.0,1.0,0.5,1.1,0.0,1.0,0.3,1.0,0,0
Thymofox,yes,no,yes,,no,,starting?,"thymus regeneration via small molecules, based on fingerprinting to determine how candidates modulate regenerative pathways",pre-clinical,Tx,,,humans,,,small molecules,pharma,Chris Shepard,Boston,no,,,,,0.0,,unknown,,,,,,,,2024-10-16,2024-08-15,Backed by Apollo Health Ventures.,0.04,0.1,1.0,0.3,0.3,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0,1
Rejuveron Telomere Therapeutics,yes,yes,yes,,,,starting?,,pre-clinical,Tx,['telomeres'],,humans,,,,,,,no,,,,,2.0,2021-01-01,,,,,,,,,2024-09-01,2024-08-15,"Rejuveron sub-company. No separate website yet, just a page on Rejuveron's site.",0.03,0.1,1.0,0.6,0.3,1.0,0.5,0.4,0.0,1.0,0.3,1.0,0,1
Younger Phenotype,yes,,,,,,operating,system for helping people optimize lifestyle based on aging science; topical pain cream to enable exercise,commercial,Tx,['app'],,humans,,,software/system,unreg app,,SF,no,,,,,4.0,2017-01-01,unknown,,,,,,,,2021-05-12,2021-05-12,"The topical pain cream is launched commercially, but doesn't count as a legitimate aging product based on the criteria of this site. The comprehensive lifestyle system does, but has yet to launch to everyone.",0.03,0.3,1.0,0.1,1.0,1.0,0.5,0.9,0.0,1.0,0.3,1.0,0,0
NemaLife Inc.,yes,no,,,,,operating,"automating C.elegans HTS inc. healthpan/lifespan w/ microfluidics, computer vision, & data intelligence",commercial,,['broad platform'],,humans,,,"tool as product, service",,,"Lubbock, TX",no,,,,,31.0,2018-01-01,$2.3,,,,,,,bioRxiv preprint,2019-07-17,2019,"the microfluidics approach distinguishes this from some other worm automation work, eg allowing automated removal of offspring to allow focus on the aging adult worms",0.03,0.3,1.0,0.1,1.0,1.0,0.5,2.1,0.7,0.3,0.3,1.2,0,0
Tiaki Therapeutics,only neuro,,,,,,operating,neuroinflammation transcriptomics screening platform for microglia targeted therapeutics for dementias,pre-clinical,Tx,['inflammation'],"AD, neuroDs",humans,,,drugs,pharma,,Boston,no,,,,,1.0,2017-01-01,unknown,,,,,,,poster,2019-07-18,2019,,0.03,0.3,0.5,0.1,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.2,0,0
Pentraxin Therapeutics,yes,,yes,yes,no,yes,defunct?*,small molecule targeting amyloid component for AD & separate CRP inhibition program,ph.2 trials,Tx,['proteostasis'],"AD, CVD, neuroDs",humans,1**,,small molecules,pharma,,London,no,,,,,1.0,2001-01-01,unknown,,,,,,miridesap,papers,2024-10-19,2019,"*Simplistic wordpress.com-hosted website still up, but last news was posted in 2019. **Old GSK trials of CPHPC also relevant for safety.",0.03,0.0,1.0,0.6,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.2,0,1
Prodrome Sciences,borderline*,no,,,no,no,operating,blood test metabolomics for early disease detection & plasmalogen supplements esp for neurodegeneration,commercial,"Tx, Dx",,"AD, PD, MS",humans,2,plasmalogen MoAs,"supplements, blood test","nutraceuticals, unreg test",Dayan Goodenowe,LA,no,,,,,17.0,2016-01-01,unknown,,,,,,,,2024-09-05,2019,"*Prodromes established for most major age-related diseases & plasmalogen levels both decrease with age, & have science tying them to many age-related diseases, esp neurodegenerative diseases. Company leader Goodenowe also published a book on plasmalogens & AD called Breaking Alzheimer's. See also OpenCures, which resells these products & is more aging focused.",0.03,0.3,0.5,0.1,1.0,1.0,0.5,1.8,0.0,1.0,0.3,1.0,0,1
CuraSen,only neuro,,,,,,operating,,ph.2 trials,,,"AD, PD, neuroDs",humans,4,,,,,,,,,,,19.0,2017-01-01,$88,,,,,,,,2023-05-27,2023-05-29,,0.03,0.3,0.5,0.1,1.0,1.0,2.0,1.8,2.8,0.3,0.3,1.0,0,0
FOXO Technologies,yes,,,,,no,operating,B2B epigenetic tests as a service,pre-commercial,Dx,"['epigenetic', 'clock']",life insurance,humans,,,saliva test,unreg test,,Minneapolis,yes,FOXO,,$0,82.0,3.0,2016-01-01,$63,,,,,,,,2019-07-30,2019,Sister company YouSurance in beta beginning to sell DTC life insurance,0.01,0.1,1.0,0.1,1.0,1.0,0.0,0.7,0.0,0.3,0.3,1.0,0,0
Lucy Therapeutics,yes,no,yes,no,no,,defunct,"mitochondrial therapeutics for CNS diseases, first for Rett Syndrome & PD",pre-clinical,Tx,['mitochondria'],"PD, Rett, AD",humans,,,small molecules,pharma,Amy Ripka,Boston,no,,,,,15.0,2017-01-01,$42,,,,,,,,2024-09-10,2024-08-15,"*Diagnostics mentioned but with no actual information on them, so considering this Tx-only for now, as of Sep'24.",0.03,0.1,1.0,0.3,0.0,1.0,0.5,1.7,2.3,1.0,1.0,1.0,0,1
NuSirt,yes,,yes,,no,no,defunct*,"supplements + existing drugs for low-cost discovery, targeting sirtuins for metabolic diseases",ph.2 trials,Tx,['metabolism'],"NAFLD, NASH, T2D, obesity, hypertension",humans,4,,"small molecules, supplements","pharma, nutraceuticals",,"Knoxville, TN",no,,,,,2.0,2007-01-01,$16,,,,,,,,2024-08-04,2020-10-12,*Website not responding as of mid-2023 & as of mid-2024 website asks for a password. Listed on this list of defunct biotechs as of Aug'24.,0.03,0.1,1.0,0.3,0.0,1.0,2.0,0.4,1.8,1.0,1.0,1.0,0,1
Methuselah Health,yes,,,,,,acquired,protein post-translational modification analysis for drug discovery for proteostasis,pre-clinical,Tx,['proteostasis'],,humans,,,drugs,pharma,,"Cambridge, UK",no,,,,,0.0,2015-01-01,unknown,,,,,,,,2019-11-14,2019-11-14,Acquired by RxCelerate.,0.03,0.3,1.0,0.1,0.5,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0,0
Nanna Therapeutics,yes,,,,,,acquired*,mitochondrial drug development,pre-clinical,Tx,['mitochondria'],MELAS,humans,,,small molecules,pharma,,,,,,,,,2012-01-01,,,,,,,,,2024-09-01,2024-08-15,*Acquired by Astellas in 2020 for £12M upfront + up to £57.5 more. Now redirects to Astellas's webpage.,0.03,0.3,1.0,0.1,0.5,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0,1
ADx Neurosciences,only neuro,,,,,no,operating,"B2B antibodies for biomarkers of neuroDs: Aβ, tau, synuclein; for use in therapeutics development & trials",commercial,Dx,['proteostasis'],"AD, PD, TBI",humans,,,,,,Belgium,no,,,,,23.0,2011-01-01,$43,,,,,,list,papers,2022-06-19,2022-06-19,Being acquired by Fujirebio Holdings for 40M euros.,0.02,0.2,0.5,0.1,1.0,1.0,0.5,1.9,2.3,0.3,0.3,1.2,0,0
Zoe Biosciences,yes,,,,,,operating,PAI-1 inhibition,pre-clinical,Tx,,,humans,,,,,,,,,,,,2.0,,unknown,,,,,,,,2023-05-27,2023-05-29,,0.02,0.2,1.0,0.1,1.0,1.0,0.5,0.4,0.0,1.0,0.3,1.0,0,0
Yuvan Research,yes,,,,,,operating,"Website ""coming soon"" but see https://longevity.technology/news/researchers-extend-lifespan-of-oldest-living-lab-rat/",pre-clinical,Tx,['cell communication'],,humans,,,,,,,,,,,,2.0,,,,,,,,,,2023-05-27,2023-05-27,Harold Katcher's company.,0.02,0.2,1.0,0.1,1.0,1.0,0.5,0.4,0.0,1.0,0.3,1.0,0,0
TruDiagnostic,yes,,,,,no,operating,DTC biological age tests,commercial,Dx,['clock'],,humans,10,,blood test,unreg test,,,no,,,,,35.0,2019-01-01,unknown,,,,,,,,2023-05-27,2023-05-29,,0.02,0.2,1.0,0.1,1.0,1.0,0.5,2.2,0.0,0.3,0.3,1.0,0,0
TAmiRNA,yes,,,,,no,operating,"blood circulated microRNA signatures as biomarkers for aging diseases, as a service, first for osteoporosis",commercial,Dx,['senescence'],"OP, CVD, liverDs",humans,,,blood test,,,"Vienna, Austria",no,,,,,14.0,2013-01-01,$0.1,1.1,1.18,€0.1,,,"osteomiR, thrombomiR",papers,2020-02-06,2020-02-06,Revealed that they are working on detection of senescent cell burden at Longevity Therapeutics 2020 conference.,0.02,0.2,1.0,0.1,1.0,1.0,0.5,1.6,0.1,0.3,0.3,1.2,0,0
Age Labs,yes,,,,,no,operating,ML on epigenetic datasets f/ biobanks for biomarkers & reports on epigenetic drug effects in clinical trials.,commercial,Dx,"['epigenetic', 'clock']",,humans,,,blood test,unreg test,,"Oslo, Norway",no,,,,,4.0,2017-01-01,$2.0,,,,,,,papers,2019-09-04,2019,,0.02,0.2,1.0,0.1,1.0,1.0,0.5,0.9,0.7,0.3,0.3,1.2,0,0
Biosens,yes,,,,,,operating,"targeting muscle/bone, cognition, & cell senescence with a variety of paths to market","pre-commercial, pre-clinical",Tx,['senescence'],,humans,,,,"nutraceuticals, cosmetic",,"Germany; Manchester, UK",no,,,,,3.0,2019-01-01,$0.2,0.18,0.19,R$1,,,,,2021-05-11,2021-05-11,Why is the website a .org?,0.02,0.2,1.0,0.1,1.0,1.0,0.0,0.7,0.1,1.0,0.3,1.0,0,0
Mitra Bio,yes,,,,,,operating,epigenetics to find new compounds that fight the root causes of skin ageing.,pre-commercial?,,,,humans,,,,,,,,,,,,9.0,,$2.57,,,,,,,,2022-06-16,2022-06-16,,0.02,0.2,1.0,0.1,1.0,1.0,0.0,1.4,0.8,0.3,0.3,1.0,0,0
Molecule,borderline*,no,,,,no,operating,"de-sci distributing funding platform for early-stage biotech research projects, esp longevity",,,,,humans,,,,,,Berlin,no,,,,,39.0,2018-01-01,$20.2,,,,,,,,2024-10-03,2024-08-15,"*Broader platofrm & longevity only 1 of 6 areas of focus listed on website, but 5 of 8 funded projects are longevity, as of Oct'24, & clear early public emphasis on longevity, as described for example here.",0.02,0.2,0.5,0.1,1.0,1.0,0.0,2.3,1.9,0.3,0.3,1.0,0,1
Numeric Biotech,yes,,,,,,operating,"selective targeting of foxo4-p53, for inflammatory neuro diseases & auto-immune diseases",pre-clinical,Tx,['senescence'],neuroDs,humans,,,,,,,no,,,,,0.0,2017-01-01,$0.4,1.1,1.18,€0.3,,,,,2021-05-11,2021-05-11,,0.02,0.2,1.0,0.1,1.0,1.0,0.5,0.0,0.2,1.0,0.3,1.0,0,0
MyndYou,only neuro,,,,,no,operating,"cognition eval app w/ AI to passively track movement & conversation, platform for therapists",commercial,Dx,['app'],"AD, other MCI",humans,,,software,,,Israel,no,,,,,39.0,2016-01-01,$4.0,,,,,,,,2019-07-22,2019,"Company webpage indicates more palliative focus than other cognitive testing app companies , but clearly the technology has the potential to be used as cognitive decline biomarker/diagnostic. Being deployed currently as more of a augmentative tool for therapists? Partnered with Mizuho.",0.02,0.2,0.5,0.1,1.0,1.0,0.5,2.3,1.0,0.3,0.3,1.0,0,0
Extended Longevity,yes,,,,,,operating,phytochemical supplements targeting a wide range of aging areas,commercial,Tx,,,humans,,,supplements,nutraceuticals,,"Maui, Hawaii",no,,,,,1.0,2019-01-01,,,,,,,,9 whitepapers,2020-02-20,2020-02-20,"Article noting n=1 study showing epigenitic age-clock reversal, and also noting crowdfunding raise.",0.02,0.2,1.0,0.1,1.0,1.0,0.5,0.0,0.0,1.0,0.3,1.2,0,0
TruMe Labs,yes,,,,,no,operating,DTC saliva methylation clock,commercial,Dx,"['epigenetic', 'clock']",,humans,,,saliva test,unreg test,,SF,no,,,,,6.0,2018-01-01,$0.1,,,,,,TruAge Index,,2020-01-06,2020-01-06,"The 'TruAge' in product name ""TruAge index"" should not be confused with TruAge in ""TruAge Scanner"", a skin autofluorescence device for measuring AGE levels in skin. There are other companies in other areas called TruMe.",0.01,0.1,1.0,0.1,1.0,1.0,0.5,1.1,0.1,0.3,0.3,1.0,0,0
Juvify,yes,,,,,,operating,weight loss supplement against aging based on the science of Advanced Glycation End products,commercial,Tx,['ECM'],,humans,,,supplements,nutraceuticals,,SF,no,,,,,1.0,2021-01-01,unknown,,,,,,,,2021-05-12,2021-05-04,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,0,0
Rejuveron Vascular Therapeutics AG,yes,,,,,,operating,rejuvenate brain vasculature,pre-clinical,Tx,,,humans,,,,,,Zurich,no,,,,,1.0,,unknown,,,,,,,,2021-05-06,2021-05-06,Rejuveron sub-company.,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.0,0.0,1.0,0.3,1.0,0,0
FoxBio / Antoxerene,yes,,yes,,,,defunct*,"drug platform using protein manufacturing tech, senolytics targeting p53 pathways",pre-clinical,Tx,['senescence'],,humans,,,small molecules,pharma,,"Syracuse, NY",no,,,,,1.0,2016-01-01,$12,,,,,,,,2024-10-17,2019,*Former page on Juvenescence website not responding & no mention on Juvenescence or Ichor websites as of 2024. Was Juvenescence & Ichor subcompany. Old video: https://www.youtube.com/watch?v=jBEV40Q6CgI,0.01,0.0,1.0,0.3,0.0,1.0,0.5,0.0,1.6,1.0,1.0,1.0,0,1
Refoxy Pharma,yes,,,,,,operating,,pre-clinical,,,,humans,,,,,,,,,,,,4.0,2020-01-01,unknown,,,,,,,,2023-05-27,2023-05-29,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.9,0.0,0.3,0.3,1.0,0,0
CohBar,yes,,,,,,defunct* as aging corp,find mtDNA peptides & optimized analogs to treat metabolic dysfunction,ph.1 trials,Tx,['mitochondria'],"NASH, obesity, T2D, cancer, other ageDs",humans,1,,peptides,pharma,,SF,yes,delisted,,,11.0,15.0,2007-01-01,$25,,,,,,,papers & posters,2024-08-18,2019,"*Was CohBar, focused on mitochondria biology, but merged in 2023 w/ immuno-oncology company Morphogenesis & rebranded to TuHURA, which seems to have dropped all aging/mitochondria focus, so CohBar programs appear to be defunct . The new company doesn't qualify for listing here as it's solely cancer focused.",0.01,0.1,1.0,0.1,0.0,1.0,1.0,1.7,2.0,1.0,1.0,1.2,0,1
Ageless Partners,yes,,,,,,operating,"DTC education, coaching, & supplements based on current anti-aging research",commercial,,,,humans,,,,,,,,,,,,3.0,2021-01-01,unknown,,,,,,,,2023-05-27,2023-05-29,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.7,0.0,0.3,0.3,1.0,0,0
Genescient,yes,,,,,,operating,platform using naturally selected long-lived flies & genomics,pre-clinical,,,,humans,,,,,,Las Vegas,no,,,,,3.0,2006-01-01,unknown,,,,,,,,2020-05-04,2020-05-04,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.7,0.0,0.3,0.3,1.0,0,0
Proclara Biosciences,yes,,,,,yes,defunct*,treat multiple misfolded proteins by targeting the shared amyloid fold,ph.1 trials,Tx,['proteostasis'],"AD, PD, amyloidosis",humans,4,,biologics,pharma,,Boston,no,,,,,1.0,2007-01-01,$116,,,,,,,papers & posters,2024-07-15,2019,*Website down late 2023 . Formerly named NeuroPhage Pharmaceuticals.,0.01,0.1,1.0,0.1,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.2,0,1
AgeX,yes,,,,,,defunct* as aging corp,allogeneic stem cells w/ tech for stable engraftment & low immunogenicity; tissue regeneration drugs,pre-clinical,Tx,['stem cells'],"IHD, T2D, CHF, scarless healing",humans,,,"cell therapy, small molecules",pharma,,SF,yes,AGE,,,,12.0,2017-01-01,$64,,,,,,,,2024-09-19,2019,Merger w/ non-aging company Serina Therapeutics in 2023. AgeX programs don't appear to live on within Serina.,0.01,0.1,1.0,0.1,0.0,1.0,0.5,1.5,2.6,1.0,1.0,1.0,0,1
Gameto,only female,,,,,,operating,ovarian / female reproductive health,,,,,humans,,,,,,,,,,,,33.0,2020-01-01,$73,,,,,,,,2022-06-13,2022-06-13,,0.01,0.1,0.2,0.1,1.0,1.0,0.0,2.2,2.7,0.3,0.3,1.0,0,0
Lyceum Pharmaceuticals,yes,,,,,,operating,"platform based on drosophila outbred to improve aging and robustness, based on research of Michael R. Rose",pre-clinical,,,,humans,,,,,,LA,no,,,,,2.0,2015-01-01,unknown,,,,,,,,2021-05-04,2021-05-04,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.4,0.0,0.3,0.3,1.0,0,0
Centers for Age Control,yes,,,,,no,operating,sells AgeMeter multimodal test of biological age,commercial,Dx,['clock'],,humans,,,multimodal test,unreg test,,Las Vegas,no,,,,,2.0,2005-01-01,unknown,,,,,,AgeMeter,,2019-08-22,2019,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.4,0.0,0.3,0.3,1.0,0,0
Epimorphy LLC,yes,,,,,no,operating,DTC Horvath methylation clock,commercial,Dx,"['epigenetic', 'clock']",,humans,,,"blood test, urine test",unreg test,,LA,no,,,,,2.0,2016-01-01,unknown,,,,,,myDNAge,,2019-08-02,2019,,0.01,0.1,1.0,0.1,1.0,1.0,0.5,0.4,0.0,0.3,0.3,1.0,0,0
DeepLongevity,yes,,,,,no,acquired,,,Dx,['clock'],,humans,,,,,,,,,,,,7.0,2020-01-01,,,,,,,,,2022-06-05,2022-06-05,"Acquired by Regent Pacific, shortly after being spun out of Insilico Medicine. Is website now good enough at showing what Deep Longevity itself does that this should be broken back out and included in main company list?",0.01,0.1,1.0,0.1,0.5,1.0,0.0,1.2,0.0,0.3,0.3,1.0,0,0
resTORbio,yes,,,,,,defunct?,selective mTORC1 inhibitor,ph.2 trials,Tx,['metabolism'],"PD, neuroDs, HF",humans,5,,small molecule,pharma,,Boston,delisted/ merged,to be updated,,,,0.0,2016-01-01,,,,,,,,publications,2020-03-05,2019,"Website gone as of 2022-06-06 & zero employees on LinkedIn. Also, Joan Mannick left. Phase 3 trial for respiratory illness failed in late 2019.",0.0,0.0,1.0,0.1,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.2,0,0
Souvien Therapeutics,only neuro,,,,,,starting?,modulate epigenetics of neurodegeneration,pre-clinical,Tx,['epigenetic'],neuroDs,humans,,,,,,,no,,,,,0.0,,$3.5,,,,,,,,2019-08-24,2019,Juvenescence sub-company.,0.0,0.0,0.5,0.1,0.3,1.0,0.5,0.0,0.9,1.0,0.3,1.0,0,0
Tally Health,yes,,,,,no,starting?,at home biological age test,pre-commercial,Dx,,,humans,,,,,,,,,,,,25.0,,,,,,,,,,2022-06-14,2022-06-14,,0.0,0.0,1.0,0.1,0.3,1.0,0.0,2.0,0.0,0.3,0.3,1.0,0,0
Bioquark,yes,,,,,,defunct?,"biologics for regeneration, repair, degenerative diseases w/ leads from regenerative animals",ph.1 trials,Tx,,"cancer, kidneyDs, neuroDs, brain death",humans,1,,"biologics, cell therapy",pharma,,"Philadelphia, Tampa",no,,,,,3.0,2007-01-01,unknown,,,,,,,two,2023-08-21,2019,Website still not responding & Ira's LinkedIn lists his involvement ending early '22 as of 2023-08-21. Prev: Website not responding but Ira & Sergei still list this as active in LinkedIn as of 2022-06-01.,0.0,0.0,1.0,0.1,0.0,1.0,1.0,0.7,0.0,1.0,1.0,1.2,0,0
Antoxis,yes,,,,,,defunct*,"platform for mito drugs, 1st as co-treatments for regen. med. & cancer therapies, & for neuroDs",pre-clinical,Tx,['mitochondria'],"neuroDs, cancer, regenerative med.",humans,,,drugs,pharma,,"Aberdeen, Scotland",no,,,,,0.0,2005-01-01,$2.7,1.3,1.35,£2,,,"Proxison, Oncamex",2018 paper,2024-09-07,2020-01-03,*Website not responding as of 2022-06-05. Company has a 2nd LinkedIn page: https://www.linkedin.com/company/antoxis-limited/ .,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.8,1.0,1.0,1.2,0,1
Yumanity Tx & Proteostasis Tx,only neuro,,,,,,defunct*,misfolded proteins,clinical trials,Tx,['proteostasis'],,humans,,,,pharma,,,,,,$26,,,2014-01-01,$137,,,,,,,,2024-08-04,2023-04-14,"*Proteostasis Therapeutics merged with Yumanity 2020. Yumanity merged with Kineta but w/ neuroscience assets going to J&J for $26M in 2022. Kineta is a cancer company so does not qualify for this list, and is itself having financial difficulty as of 2024.",0.0,0.0,0.5,0.1,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0,1
Senolytx,yes,,,,,,defunct as separate co,"senolytics, first directly then via immune system mediated clearance",pre-clinical,Tx,['senescence'],"IPF, cancer, post-cancer Tx",humans,,,,pharma,,"Barcelona, Boston",no,,,,,2.0,2017-01-01,$0.58,,,,,,,see last couple refs here,2019-07-31,2019,Website not responding & no mention on Life Bio's website of this or any other daughter companies as of 2022-06-06. Life seems to have aborted being an umbrella company. Programs may live on inside Life Bio.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.4,0.3,1.0,1.0,1.2,0,0
Evvia Therapeutics,yes,,,,,,aborted*,small molecule activator to treat mitochondrial disorders,pre-clinical,Tx,['mitochondria'],,humans,,,drugs,pharma,,SF,no,,,,,4.0,2020-01-01,,,,,,,,,2024-09-07,2024-08-15,"*Won MBC Biolabs golden ticket in 2020 but seems to have never actually gotten going fully as a company, at least to the point of having a stable website. Website should be http://www.evviatherapeutics.com/ but wasn't live mid-2022 nor in Sep'24.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.9,0.0,1.0,1.0,1.0,0,1
Silene Biotech,yes,,,,,,acquired,freeze autologous stem cells for future use fighting age-related diseases; plus telomere length blood test,,"Tx, Dx","['stem cells', 'telomeres']","cancer, OA, AMD, CVD, neuroDs",humans,,,cell therapy,"n/a, unreg test",,Seattle,,,,,,,2015-01-01,$0.4,,,,,,StemFreeze,,2022-06-16,2019,Top Google search results artictles says acquired by NanoSurface but some say acquired by Curi Bio.,0.0,0.0,1.0,0.1,0.5,1.0,0.0,0.0,0.2,1.0,0.3,1.0,0,0
Mitoconix Bio,only neuro,,,,,,defunct?,"drugs for mitochondria health for dementias, 1st by inhibiting pathological mito fission",pre-clinical,Tx,['mitochondria'],"HD, PD, AD",humans,,,peptides,pharma,,Israel,no,,,,,1.0,2016-01-01,$20,,,,,,,,2024-09-07,2019,*Website not responding as of Jan'20. Almost all employees report having ended employment there summer 2019 according to their LinkedIn profiles.,0.0,0.0,0.5,0.1,0.0,1.0,0.5,0.0,1.9,1.0,1.0,1.0,0,1
Newomics,maybe,,,,,no,operating,microfluidics platform based on new emitter for improved LC-MS for multi-omics,commercial,Dx,['senescence'],"AD, T2D",humans,,,,,,SF,no,,,,,9.0,2011-01-01,$16,,,,,,"M3 Emitters, MEA Chip, Senescence Chip",papers,2019-12-25,2019-12-27,"Broader technology platform than aging. But the only specific diagnostics mentioned on about page were all aging related: diabetes, Alzheimer's, & senescent cells tests. Conclusion: include for now but re-evaluate later to see if non-aging is majority of the business.",0.0,0.0,0.1,0.1,1.0,1.0,0.5,1.4,1.7,0.3,0.3,1.2,0,0
BioMarker Pharmaceuticals,yes,yes,,,,no,defunct?*,aging therapeutics from studying longevity-related gene expression in mice using cDNA microarray chips,pre-commercial,Tx,,,humans,,,,,,,no,,,,,5.0,,,,,,,,,papers,2024-09-04,2024-08-15,"*Looks defunct: last news from 2015, copyright notice on webpgae is thru 2013, & last publication is 2014.",0.0,0.0,1.0,0.3,0.0,1.0,0.0,1.0,0.0,1.0,0.3,1.2,0,1
EPITERNA,yes,,,,,,aborted?*,platform to identify drugs and combinations to safely extend healthy lifespan across multiple species,pre-clinical,Tx,['broad platform'],,"dogs, cats",,,drugs,veterinary,,Switzerland,no,,,,,7.0,2022-01-01,unknown,,,,,,,,2024-10-04,2023-08-02,"*Website not responding as of Oct'24. Was just starting before that, so maybe aborted on on hold. Spinoff from OcampoLab at the University of Lausanne.",0.0,0.0,1.0,0.1,0.0,1.0,0.5,1.2,0.0,1.0,0.5,1.0,0,1
Continuum Biosciences,yes,,,,,,defunct*,drugs to improve mitochondria health & metabolism,pre-clinical,Tx,"['mitochondria', 'metabolism']","NASH, obesity, diabetes",humans,,,drugs,pharma,,,no,,,,,1.0,2017-01-01,$0.5,,,,,,,,2024-09-07,2019,*Website gone & no mention on Life Bio's website of this or any other daughter companies as of 2022-06-06. Life seems to have aborted being an umbrella company. Programs may live on inside Life Bio. Not to be confused with Continuum Biosciences Consulting.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.3,1.0,1.0,1.0,0,1
Oviva Therapeutics,only female,,,,,,operating,overian / female reproductive health,,,,,humans,,,,,,,,,,,,4.0,2021-01-01,,,,,,,,,2022-06-13,2022-06-13,Cambrian sub-company. Not to be confused with https://oviva.com/,0.0,0.0,0.2,0.1,1.0,1.0,0.0,0.9,0.0,0.3,0.3,1.0,0,0
Oxitope Inc.,yes,,,,,,defunct?,"mAbs for oxidative damage & chronic inflammation by targeting oxidized lipids, for aging diseases",pre-clinical,"Tx, Dx",,"CVD, cancer, obesity, OA, neuroDs, more",humans,,,biologics,pharma,,SD,no,,,,,0.0,2018-01-01,,,,,,,,a few peer reviewed,2020-01-10,2019,Website gone as of 5/21/2022. Not to be confused with Oxitope Pharma.,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.2,0,0
Daphnia Labs,yes,,,,,,defunct,drug discovery platform via in-vivo phenotypic screens of daphnia water fleas w/ video & ML for anti-aging,pre-clinical,Tx,['lifespan screens'],,humans,,,,pharma,,SF,no,,,,,0.0,2019-01-01,,,,,,,,,2021-05-21,2019,,0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0,0
Human Rejuvenation Biotechnologies,yes,,,,,,defunct,clearance of 7-ketocholesterol for atherosclerosis,pre-clinical,Tx,['in-cell aggregates'],atherosclerosis,humans,,,,pharma,,"Phoenix, AZ",no,,,,,0.0,2014-01-01,,,,,,,,,2020-08-30,2019,"Defunct: The handful of employeees on LinkedIn say their employment here ended. William Adams' says ""closure of company"".",0.0,0.0,1.0,0.1,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0,0
